,title,user_id,item_id,rating,timestamp,Rating Count
0,101 Dalmatians (1996),5,225,2,875635723,109
1,12 Angry Men (1957),272,178,5,879455113,125
2,2 Days in the Valley (1996),277,1011,3,879543697,93
3,"20,000 Leagues Under the Sea (1954)",234,141,3,892334609,72
4,2001: A Space Odyssey (1968),82,135,3,878769629,259
5,"39 Steps, The (1935)",299,615,4,878192555,59
6,Absolute Power (1997),121,291,3,891390477,127
7,"Abyss, The (1989)",254,164,4,886472768,151
8,Ace Ventura: Pet Detective (1994),196,67,5,881252017,103
9,Addams Family Values (1993),268,386,2,875743978,87
10,Addicted to Love (1997),314,535,4,877887002,54
11,"Adventures of Priscilla, Queen of the Desert, The (1994)",62,382,3,879375537,111
12,"Adventures of Robin Hood, The (1938)",239,491,5,889181015,67
13,"African Queen, The (1951)",62,498,4,879373848,152
14,"Age of Innocence, The (1993)",122,387,5,879270459,65
15,Air Force One (1997),104,300,3,888442275,431
16,Akira (1988),234,206,4,892334543,50
17,Aladdin (1992),38,95,5,892430094,219
18,Alice in Wonderland (1951),7,420,5,891353219,81
19,Alien (1979),82,183,3,878769848,291
20,Alien 3 (1992),246,665,4,884922831,100
21,Alien: Resurrection (1997),94,343,4,891725009,124
22,Aliens (1986),263,176,5,891299752,284
23,All About Eve (1950),301,606,3,882076890,66
24,Amadeus (1984),301,191,3,882075672,276
25,"American President, The (1995)",188,692,5,875072583,164
26,"American Werewolf in London, An (1981)",254,436,2,886474216,99
27,"American in Paris, An (1951)",184,602,4,889909691,50
28,Amistad (1997),222,750,5,883815120,124
29,"Amityville Horror, The (1979)",222,441,2,881059920,53
30,Anastasia (1997),285,538,5,890595479,66
31,Angels and Insects (1995),115,20,3,881171009,72
32,Annie Hall (1977),237,514,4,879376641,180
33,Antonia's Line (1995),6,19,4,883602965,69
34,"Apartment, The (1960)",151,481,3,879524669,63
35,Apocalypse Now (1979),121,180,3,891388286,221
36,Apollo 13 (1995),262,28,3,879792220,276
37,"Apostle, The (1997)",100,344,4,891374868,55
38,Apt Pupil (1998),174,315,5,886432749,160
39,"Aristocats, The (1970)",5,102,3,875721196,54
40,Army of Darkness (1993),94,184,2,891720862,116
41,Around the World in 80 Days (1956),148,495,4,877016735,59
42,"Arrival, The (1996)",57,825,1,883697761,83
43,Arsenic and Old Lace (1944),167,659,4,892738277,115
44,As Good As It Gets (1997),205,316,4,888284710,112
45,Austin Powers: International Man of Mystery (1997),293,249,3,888905229,130
46,Babe (1995),109,8,3,880572642,219
47,Back to the Future (1985),128,204,4,879967478,350
48,Bad Boys (1995),217,27,1,889070011,57
49,Bananas (1971),210,502,3,891035965,57
50,Barcelona (1994),59,702,5,888205463,53
51,Basic Instinct (1992),291,159,4,875087488,101
52,Batman & Robin (1997),279,254,3,879572960,62
53,Batman (1989),42,403,3,881108684,201
54,Batman Forever (1995),224,29,3,888104457,114
55,Batman Returns (1992),268,231,4,875744136,142
56,Bean (1997),8,338,4,879361873,91
57,"Beautician and the Beast, The (1997)",155,988,2,879371261,86
58,Beautiful Girls (1996),63,762,3,875747688,115
59,Beauty and the Beast (1991),42,588,5,881108147,202
60,Beavis and Butt-head Do America (1996),69,240,3,882126156,156
61,Bed of Roses (1996),222,278,2,877563913,60
62,Bedknobs and Broomsticks (1971),276,142,3,874792945,57
63,Being There (1979),208,663,5,883108476,116
64,Ben-Hur (1959),13,526,3,882141053,124
65,Benny & Joon (1993),151,747,3,879524564,102
66,Better Off Dead... (1985),59,710,3,888205463,79
67,Big Night (1996),43,137,4,875975656,171
68,"Big Sleep, The (1946)",60,525,5,883325944,73
69,"Birdcage, The (1996)",162,25,4,877635573,293
70,"Birds, The (1963)",18,443,3,880130193,162
